believe	believes	believed
eat	eats	ate
find	finds	found
think	thinks	thought
want	wants	wanted
agree	agrees	agreed
disagree	disagrees	disagreed
think	thinks	thought
know	knows	knew
say	says	said
see	sees	saw
seem	seems	seemed
work	works	worked
mean	means	meant
get	gets	got
make	makes	made
look	looks	looked
use	uses	used
give	gives	gave
try	tries	tried
become	becomes	became
ask	asks	asked
feel	feels	felt
go	goes	went
need	needs	needed
leave	leaves	left
put	puts	put
let	lets	let
talk	talks	talked
start	starts	started
hear	hears	heard
move	moves	moved
run	runs	ran
hold	holds	held
bring	brings	brought
write	writes	wrote
sit	sits	sat
provide	provides	provided
show	shows	showed
love	loves	loved
consider	considers	considered
wait	waits	waited
stay	stays	stayed
decide	decides	decided
